u,v,length,traffic_id,volume,Name,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,1,2,3,4,5,6,7,8,9,10,11,12
794436,735703,11865.763083331209,79854V625215,45446,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,79854V625215,45446,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,79854V625215,45446,"Recharge Filipstad, Oslo",243223,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0]",16,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,79854V625215,45446,Recharge K89,243329,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",11,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,79854V625215,45446,Idas vei,173544,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",8,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,79854V625215,45446,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,79854V625215,45446,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,79854V625215,45446,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,45446.0,48632.0,48295.0,50581.0,50744.0,55806.0,30121.0,46424.0,52638.0,51518.0,48849.0,44227.0
794436,735703,11865.763083331209,29861V1832531,19619,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,19619.0,20037.0,19246.0,20674.0,20766.0,21752.0,16469.0,20760.0,21437.0,21997.0,21917.0,19252.0
794436,735703,11865.763083331209,29861V1832531,19619,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,19619.0,20037.0,19246.0,20674.0,20766.0,21752.0,16469.0,20760.0,21437.0,21997.0,21917.0,19252.0
