u,v,diff_hour_00_avg,diff_hour_01_avg,diff_hour_02_avg,diff_hour_03_avg,diff_hour_04_avg,diff_hour_05_avg,diff_hour_06_avg,diff_hour_07_avg,diff_hour_08_avg,diff_hour_09_avg,diff_hour_10_avg,diff_hour_11_avg,diff_hour_12_avg,diff_hour_13_avg,diff_hour_14_avg,diff_hour_15_avg,diff_hour_16_avg,diff_hour_17_avg,diff_hour_18_avg,diff_hour_19_avg,diff_hour_20_avg,diff_hour_21_avg,diff_hour_22_avg,diff_hour_23_avg,edge_classification,TimeServed
1681444,1681802,2.7608281686818703,2.774946423222343,2.7816338232622773,2.783559320307947,2.7798706654092467,2.751542374497568,2.6448923707150565,2.5579240026556187,2.5712432348365812,2.577296674753008,2.535939919248627,2.489975189047,2.467020595171139,2.4517988082210653,2.4204857818445187,2.374641501775948,2.4114390810470883,2.470218606008935,2.5144524095203287,2.560433694298663,2.6060481316930955,2.6517147268199808,2.6944105707093633,2.734350592919393,1,0
1681802,1682190,1.3939216123816698,1.3961123760172602,1.397150076023457,1.3974488600477848,1.3968764825635036,1.3924807132841053,1.3759315747661296,1.3624364831706994,1.36450326057809,1.3654425874616736,1.3590251598834076,1.3518927017486722,1.3483307820093147,1.3459687805860272,1.3411098627000113,1.3339960951031644,1.3397060643004102,1.348827025070352,1.3556908911324648,1.362825918080827,1.3699040204351356,1.3769902162306866,1.3836154333859356,1.3898130230392163,1,0
1681802,1755117,11.800088584997129,11.872140366789885,11.906269166993686,11.91609584157159,11.89727098208857,11.752699014677242,11.208416236752699,10.764577668725225,10.832551681234962,10.863445098739488,10.652383036165405,10.417804413067447,10.300656830528567,10.222973228162672,10.063168817689267,9.829204905615178,10.016999448102377,10.31697771342491,10.542722641689952,10.77738575021386,11.010176672088898,11.24323377825369,11.461129809137438,11.664961646623107,1,0
922696,931938,2.6338574050989685,2.693738277805108,2.7221020779744856,2.7302688413061205,2.714623856735773,2.594472829765549,2.142129710274206,1.7732638733324544,1.8297557891344651,1.8554307239524155,1.6800210368131434,1.4850671811303802,1.3877080415879328,1.3231466693514138,1.1903362471336505,0.9958932661531591,1.1519657575445468,1.4012720185896228,1.5888843576207055,1.783908427542604,1.9773765585603709,2.171065910305437,2.352155179215577,2.5215559630719095,1,0
1177374,362990,8.646191350329891,8.845794259350358,8.94034025991495,8.967562804353735,8.915412855785908,8.514909432551828,7.007099034247353,5.777546244441512,5.9658526304482145,6.051435746508049,5.4667367893771415,4.816890603767933,4.492360138626441,4.277155564504709,3.8344541571121646,3.186310887177196,3.706552525148487,4.537573395298741,5.1629478587356825,5.813028091808678,6.4579218618678995,7.103553034351454,7.7071839307185845,8.271853210239696,1,0
1177374,1118108,1.412057201315986,1.8762556738794391,2.0961327751924608,2.1594417901250917,2.0381613609557663,1.1067466925321214,-2.3998318801101166,-5.259291843719551,-4.8213646752868895,-4.622331745620909,-5.982113344704615,-7.49340197392018,-8.248133189804115,-8.748615046938431,-9.778165759008655,-11.285494070918395,-10.075615042124182,-8.14298479898207,-6.688607845598841,-5.176774913318105,-3.6770036700218403,-2.175517516453382,-0.771707614780064,0.5414927706428104,0,Z
362990,613164,38.782473517122064,39.36546006237087,39.64160356401988,39.72111331271609,39.56879730439908,38.399034257270266,33.995124618320006,30.403930799313926,30.953923231613988,31.203888552300953,29.49613976897349,27.598113409785608,26.65024699025649,26.021692167059484,24.72868012961419,22.835627530230955,24.355113777720273,26.782302782610344,28.608853806917026,30.507563755953395,32.39112543801661,34.27684087472162,36.039884773257334,37.689132242102524,1,0
613164,1250862,17.146767152811254,17.814706643484623,18.131089845373943,18.222185774569088,18.047674239361626,16.707453027953928,11.661804573139925,7.547301091155506,8.1774385584755,8.46382888831475,6.5072265244522995,4.332619288706359,3.2466295370621445,2.526481547562111,1.0450514720924247,-1.1238572263241073,0.6170489378139706,3.397928532560672,5.490645029720388,7.666035468198804,9.824070230445763,11.98457259300048,14.004527690111962,15.894103913289916,0,0
1250862,1108929,26.189504025057374,26.44557995223973,26.566875552964053,26.60180008558552,26.534895517422896,26.021078930542092,24.086668517107572,22.50924225506399,22.750825569794532,22.860622445520082,22.110496466371654,21.276791359955936,20.860442519310993,20.584350797388968,20.016397284490235,19.184876894280986,19.85230884933684,20.918447819334478,21.720757496817,22.554762869003326,23.382114388640275,24.210411941631374,24.984826213556037,25.709255581917265,1,0
1108929,1252948,2.9799601704317293,3.167392170365584,3.2561731708957495,3.281735804088264,3.2327657304331088,2.8566832476401327,1.4408125077688563,0.2862324490487385,0.4630567383477157,0.5434213717209747,-0.005625209975120213,-0.6158466281691345,-0.9205886503141945,-1.1226709943065507,-1.5383784134434533,-2.1470007522848267,-1.658481165409345,-0.8781322995365466,-0.2908904253335645,0.3195507691374189,0.9251217483393716,1.531385166403196,2.098209300796722,2.6284475266884972,0,0
