,Name,Latitude,Longitude
518,"Fortum hurtigladestasjon Kiwi Lund, Kristiansand",58.15284,8.02465
519,"Grønn Kontakt, Hurtigladestasjon i Mandal",58.0248222814116,7.45596170425415
520,Kiwi Gudridflaten Os,60.20425,5.45332
521,Circle K Telemarksporten,59.12182,9.70794
522,Fortum Hurtigladestasjon Kiwi Svolvær,68.23259,14.53109
523,Circle K Korgen,66.08153,13.82736
524,Fortum hurtigladestasjon Kiwi Levanger,63.74909,11.30225
525,"Fortum Hurtigladestasjon YX Gråmyra, Levanger",63.71749,11.22584
526,Leinstrand - Klett Supercharger,63.32522,10.30523
527,Røros Hotell,62.57954,11.37831
528,Fortum hurtigladestsjon Kiwi Otta,61.7730452079862,9.53994793121343
529,Romarheim,60.73974,5.63329
530,Hallingdal Tingrett,60.56791,9.10149
531,Kiwi Minnesund,60.40302,11.24261
532,"Fortum hurtigladestasjon Kiwi Årland, Samnanger",60.40096,5.73074
533,"Fortum hurtigladestasjon Kiwi Sønsterudveien, Oppegård",59.80563,10.80685
534,Coop Extra Sunndalsøra,62.67385,8.56824
535,Åndalsnes,62.55881000000096,7.682409999998754
536,Kiwi Fjellbo,60.02443,11.06923
537,Kiwi Kleivbrottet,59.47874,10.31606
538,Kiwi Øyer,61.24387,10.43865
539,Fortum hurtigladestasjon Kiwi Ottestad,60.77301,11.11571
540,Setermoen Supercharger,68.8596,18.34769
541,Vesterålen Bil Fortum Hurtigladerstasjon,68.70472,15.41195
