source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
628147,541335,11560.60898,11.56060898,"LINESTRING (10.898593332790567 63.546306383461925, 11.065607728077566 63.619023777024346)",32279V578595,-0.00080238,6529
628971,541694,4041.130215,4.041130215,"LINESTRING (11.40402418935505 63.76049843831349, 11.466597229950539 63.784079773028914)",40729V578598,0.002776946,12731
630261,497797,4738.661037,4.738661037,"LINESTRING (11.42037727833619 63.94132198760059, 11.435623378458805 63.98340901374159)",68960V578600,-0.002789818,7632
633563,1835024,10536.64449,10.53664449,"LINESTRING (8.699213724223082 58.41754396021934, 8.580198291774987 58.34622722404893)",35904V22153,-0.000787632,18116
644771,1011677,8098.665655,8.098665655,"LINESTRING (19.55490861886213 69.21910171941751, 19.42215191621359 69.27470551029228)",91195V1125792,-0.01099675,2993
644771,1016957,15635.47613,15.63547613,"LINESTRING (19.55490861886213 69.21910171941751, 19.929360099091536 69.2655751146994)",83641V1126289,-0.0004351,2120
646017,1498010,10651.70194,10.65170194,"LINESTRING (10.955942404626953 59.62978778057559, 11.121566983582127 59.583369280627295)",21381V2554057,-0.004952166,12860
655059,1692454,1904.43019,1.90443019,"LINESTRING (10.728653509535208 59.91262534639425, 10.75801874280059 59.90387570020286)",17684V2460285,0.0057403,7499
659061,658705,9693.83468,9.69383468,"LINESTRING (13.224667739200482 65.87359694637054, 13.39728799228757 65.92489567242878)",79453V885912,0.004565273,1745
660263,601243,9099.047816,9.099047816,"LINESTRING (10.191866727584339 62.947634756476575, 10.25279548959787 63.024642806610814)",99593V72151,0.014719342,4497
687472,1661302,16958.83363,16.95883363,"LINESTRING (5.609629684311147 60.832024478156356, 5.487731485077704 60.97254728860933)",20810V384475,0.021792006,1369
717094,1367541,4277.205467,4.277205467,"LINESTRING (10.865039557119005 59.929228130130234, 10.941263555736139 59.93381923797656)",79854V625215,-0.009795648,45446
729893,1068477,9362.154404,9.362154404,"LINESTRING (10.780682149541498 59.83872488217221, 10.783605238109711 59.75454184745176)",02087V625292,-0.002923259,14827
730907,320750,15718.89431,15.71889431,"LINESTRING (6.319693641341305 62.07308346045743, 6.061330708056268 62.14641336174978)",53385V249032,0.000304093,8030
733331,717094,2788.307137,2.788307137,"LINESTRING (10.81682816247837 59.92251193592121, 10.865039557119005 59.929228130130234)",76389B2046118,-0.007307301,71
733331,521003,2608.881596,2.608881596,"LINESTRING (10.81682816247837 59.92251193592121, 10.815406372527464 59.89906053059026)",13447V625213,-0.006510453,67465
734848,518987,4227.03153,4.22703153,"LINESTRING (10.822273786744049 59.87643452885278, 10.83924359861153 59.83938729620402)",82813B1995026,-0.002042805,39
739490,1616680,14856.33059,14.85633059,"LINESTRING (18.418357973321 68.91397144911386, 18.510481546642367 69.0434263798098)",48498V1125765,-0.000788485,3139
744348,655059,2763.534523,2.763534523,"LINESTRING (10.681126755039179 59.91970432888008, 10.728653509535208 59.91262534639425)",52231V625294,-0.001404723,68670
786013,359628,22321.96178,22.32196178,"LINESTRING (6.544320340983399 58.46088553397752, 6.1907398147993495 58.539426252445985)",20571V320577,-0.005420312,3571
815860,816117,7271.286088,7.271286088,"LINESTRING (10.375356937274749 59.37820215898673, 10.366680206149852 59.31295972638973)",24742V1669523,0.00204448,22813
816117,932076,3613.433037,3.613433037,"LINESTRING (10.366680206149852 59.31295972638973, 10.327657826643579 59.287286628564146)",37016V2252707,0.008232614,17191
819302,819545,3986.130652,3.986130652,"LINESTRING (10.113199421790272 59.1103704455132, 10.063121022645184 59.085397930778484)",64390V1672721,0.014807593,22098
819545,947862,4375.294128,4.375294128,"LINESTRING (10.063121022645184 59.085397930778484, 10.01270737125295 59.05578632965959)",38617V2680848,0.000821202,17602
825322,1401860,5472.445805,5.472445805,"LINESTRING (10.459590280679281 59.924488847972135, 10.520188087860532 59.885774361836944)",31818V444229,0.009267337,0
