,Name,Latitude,Longitude,geometry
260,Eggedal,60.24675,9.356,POINT (9.356 60.24675)
261,"Sanngrund, Skarnes",60.19908,11.58132,POINT (11.58132 60.19908)
262,Oslo lufthavn P10,60.19265,11.10098,POINT (11.10098 60.19265)
263,Kuben kjøpesenter,60.16526,10.25376,POINT (10.25376 60.16526)
264,Aka Arena,60.15888,10.26491,POINT (10.26491 60.15888)
265,Extra Neskollen,60.12603,11.33999,POINT (11.33999 60.12603)
266,YX 7-Eleven Hakadal,60.10056,10.86631,POINT (10.86631 60.10056)
267,Rema 1000 Sørfjordsenteret,60.07064,6.54164,POINT (6.54164 60.07064)
268,Gjermundshamn,60.06083,5.91401,POINT (5.91401 60.06083)
269,Prestfoss,60.04375,9.63268,POINT (9.63268 60.04375)
270,Vikersund Næringspark,59.98711,9.97561,POINT (9.97561 59.98711)
271,Trondheimsveien,59.98576,10.95148,POINT (10.95148 59.98576)
272,Hvam,59.97994,10.98897,POINT (10.98897 59.97994)
273,Meny Åråsen,59.96329,11.06117,POINT (11.06117 59.96329)
274,Obs Haugenstua,59.95493,10.90121,POINT (10.90121 59.95493)
275,Strømmen Storsenter,59.94645,11.00647,POINT (11.00647 59.94645)
276,Circle K Lørenskog,59.941336,10.945095,POINT (10.945095 59.941336)
277,Colosseum P-hus,59.92926,10.71083,POINT (10.71083 59.92926)
278,Kiwi Mølla,59.92874,10.75789,POINT (10.75789 59.92874)
279,Rema 1000 Fitjar,59.91991,5.32625,POINT (5.32625 59.91991)
280,Birger N. Haug Rud,59.90778,10.49272,POINT (10.49272 59.90778)
281,Bryn senter,59.90364,10.82152,POINT (10.82152 59.90364)
282,Rema Ryensvingen,59.892336,10.805119,POINT (10.805119 59.892336)
283,Haraløkka parkeringsplass,59.88061,10.85663,POINT (10.85663 59.88061)
284,Circle K Abildsø,59.87918,10.819441,POINT (10.819441 59.87918)
285,Tangen senter,59.85642,10.66013,POINT (10.66013 59.85642)
286,Senter Syd Mortensrud,59.84891,10.82835,POINT (10.82835 59.84891)
287,Åkrafjordtunet,59.80374,6.21347,POINT (6.21347 59.80374)
288,Håndverkshuset Oppegård AS,59.79429,10.82207,POINT (10.82207 59.79429)
289,Extra Ankertunet,59.78501,10.48542,POINT (10.48542 59.78501)
290,Kiwi Lerberg,59.77866,9.91707,POINT (9.91707 59.77866)
291,Buskerud Bilsenter,59.76819,10.25949,POINT (10.25949 59.76819)
292,BEE - Langhus næringseiendom,59.75465,10.82978,POINT (10.82978 59.75465)
293,Obs Bygg Mjøndalen,59.74864,10.02674,POINT (10.02674 59.74864)
294,Røykenbadet,59.74188,10.39151,POINT (10.39151 59.74188)
295,Extra Nesset,59.73047,10.73524,POINT (10.73524 59.73047)
296,Circle K Rundtom,59.729633,10.224058,POINT (10.224058 59.729633)
297,Kjeppestadveien,59.71312,10.85515,POINT (10.85515 59.71312)
298,Sauda,59.65109,6.35235,POINT (6.35235 59.65109)
299,Klokkarstua,59.62009,10.46941,POINT (10.46941 59.62009)
300,Eventyrfabrikken Vestby,59.61922,10.74038,POINT (10.74038 59.61922)
301,Shell Notodden,59.567415,9.213688,POINT (9.213688 59.567415)
302,O. H. Holtas gate 32,59.56612,9.26118,POINT (9.26118 59.56612)
303,Ramberghjørnet,59.56495,9.26736,POINT (9.26736 59.56495)
304,Extra Sveio,59.54355,5.35502,POINT (5.35502 59.54355)
305,Tofte Bensin og Service AS,59.54175,10.55708,POINT (10.55708 59.54175)
306,Hof Skole,59.53807,10.07634,POINT (10.07634 59.53807)
307,Knapphus bensinstasjon,59.53021,5.68768,POINT (5.68768 59.53021)
308,YX 7-eleven Sonsveien,59.51562,10.72793,POINT (10.72793 59.51562)
309,Burger King Horten,59.40789,10.48563,POINT (10.48563 59.40789)
310,Extra Avaldsnes,59.35582,5.27871,POINT (5.27871 59.35582)
311,Shell Kjelleveien,59.27928,10.40098,POINT (10.40098 59.27928)
312,Hovedkontor Europris,59.25669,11.00245,POINT (11.00245 59.25669)
313,Grønn Kontakt Østfoldhallene,59.25058,10.99272,POINT (10.99272 59.25058)
314,Dahles Auto Råbekken,59.24127,10.97708,POINT (10.97708 59.24127)
315,Produksjonsveien,59.23934,10.98591,POINT (10.98591 59.23934)
316,Torvbyen senter,59.21492,10.94055,POINT (10.94055 59.21492)
317,Extra Gråtenmoen,59.18636,9.61225,POINT (9.61225 59.18636)
318,Extra Finnøy,59.17178,5.87645,POINT (5.87645 59.17178)
319,Glenneveien,59.12671,11.36815,POINT (11.36815 59.12671)
320,COOP extra Halden,59.12268,11.39227,POINT (11.39227 59.12268)
321,"Vassbotn Grillene Nord, Larvik",59.07367,9.91353,POINT (9.91353 59.07367)
322,"Rådhuset Skjærhalden, Hvaler",59.02824,11.03127,POINT (11.03127 59.02824)
323,Hundvåg Rema 1000,58.99329,5.72939,POINT (5.72939 58.99329)
324,YX Tananger,58.93551,5.58579,POINT (5.58579 58.93551)
325,Møller Bil Forus,58.88732,5.7123,POINT (5.7123 58.88732)
326,Kiwi Lundehagen,58.83008,5.72654,POINT (5.72654 58.83008)
327,YX Brokelandsheia,58.82104,9.07732,POINT (9.07732 58.82104)
328,Ljosland Skisenter,58.78306,7.33252,POINT (7.33252 58.78306)
