x,y,osmid,roadclass,isBridge,isTunnel,elevation,OD,CS,merged_nodes,geometry
10.140259193656842,61.529522326502814,233769,0,0,0,194.149,0,1,"[233769, 142633, 1052884, 263134, 141795, 288641]",POINT (10.140259193656842 61.529522326502814)
9.757769822373884,61.583219829142124,1053296,0,0,0,243.156,0,0,"[1053296, 328043, 327985, 1052910]",POINT (9.757769822373884 61.583219829142124)
9.554555163879892,61.70182024222793,144779,0,0,0,308.661,0,0,"[144779, 328043, 235835, 245375, 235866, 235531, 327985, 301921]",POINT (9.554555163879892 61.70182024222793)
9.441107105810234,61.84653164071303,140682,0,0,0,328.719,0,0,"[140682, 235835, 236118, 138268, 135951, 245375, 236159, 235866]",POINT (9.441107105810234 61.84653164071303)
9.250414619715615,61.976579002758996,236552,0,0,0,464.086,0,0,"[236552, 236118, 249216, 236159]",POINT (9.250414619715615 61.976579002758996)
9.123687637872964,62.07131121890407,261690,0,0,0,642.35,1,0,"[261690, 129100, 241932, 244853, 236956, 261698, 241945, 261692, 261701, 236957]",POINT (9.123687637872964 62.07131121890407)
11.39698411763444,61.01256688023196,57481,1,0,0,213.95,0,0,"[57481, 358636, 192065, 358529]",POINT (11.39698411763444 61.01256688023196)
11.335493408309086,61.18366362987274,192275,1,0,0,246.331,0,0,"[192275, 192284, 358529]",POINT (11.335493408309086 61.18366362987274)
11.299513548403052,61.27359635562316,331022,1,0,0,234.377,0,0,"[331022, 108909, 331230, 192284]",POINT (11.299513548403052 61.27359635562316)
11.083873385395394,61.41829871628983,346740,1,0,0,270.203,0,0,"[346740, 192295, 76449, 158752, 293714]",POINT (11.083873385395394 61.41829871628983)
11.000553135813618,61.57947858271475,74841,1,0,0,298.091,0,0,"[74841, 76449, 72771, 159170, 158752]",POINT (11.000553135813618 61.57947858271475)
10.845917144102959,61.71264153030175,1277213,1,0,0,354.698,0,0,"[1277213, 72771, 72939, 1277226, 159170]",POINT (10.845917144102959 61.71264153030175)
10.885222992278152,61.83558969219463,159432,1,0,0,390.069,0,1,"[159432, 72939, 78162, 159457]",POINT (10.885222992278152 61.83558969219463)
10.87483348072249,61.99741735016045,86439,1,0,0,472.915,0,0,"[86439, 78162, 86362]",POINT (10.87483348072249 61.99741735016045)
10.626863874354008,62.11070302713583,329400,1,0,0,488.752,0,1,"[329400, 86362, 193762, 89426, 175137, 86177]",POINT (10.626863874354008 62.11070302713583)
10.640565368238914,62.2056041227834,160015,1,0,0,478.911,0,0,"[160015, 89426, 175137, 86177, 160023]",POINT (10.640565368238914 62.2056041227834)
